ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	category
%goodをください	%good, bitte.	%good, please.	El %good, por favor.	De %good, s'il vous plaît.	%good, per favore.	%good, por favor.	請給我%good。	%goodโปรด	%good, lütfen.	請給我%good。	%good من فضلك.	Poproszę o %good.	%good, παρακαλώ.	Minta %good, dong.	%good, tack.	%good 좀 주세요.	%good szeretnék.	%good, prosím.	Jeg vil gerne bede om noget %good.	%good, kiitos.	%good, vă rog.	Kan jeg få %good?	%good, prosím.	%good, пожалуйста.	%good alstublieft.	%good就行。	%good, please.	%good, please.	%good, please.	%good, please.	El %good, por favor.	De %good, s'il vous plaît.	%good, por favor.	%good alstublieft.	Shopping
いくら?	Wie viel?	How much?	¿Cuánto cuesta?	Combien ça coûte ?	Quanto costa?	Quanto é?	多少錢？	เท่าไหร่	Ne kadar?	多少錢？	كم تتكلف؟	Ile to kosztuje?	Πόσο κοστίζει;	Berapa?	Hur mycket?	얼마입니까?	Mennyibe kerül?	Kolik?	Hvor meget koster den?	Kuinka paljon?	Cât costă?	Hvor mye?	Koľko?	Сколько?	Hoeveel?	价格多少？	How much?	How much?	How much?	How much?	¿Cuánto cuesta?	Combien ça coûte ?	Quanto é?	Hoeveel?	Shopping
みているだけです	Ich sehe mich nur um.	I'm just looking.	Sólo estoy mirando.	Je ne fais que regarder.	Sto solo dando un'occhiata.	Estou só a ver.	我只是隨便看看。	ฉันแค่เดินดูเล่นๆ	Şu an bakıyorum.	我只是隨便看看。	أنا انظر فقط.	Tylko patrzę.	Απλώς κοιτάω.	Saya cuma lihat-lihat aja.	Jag tittar bara.	그냥 보는 중입니다.	Csak nézelődöm.	Jen se dívám.	Jeg kigger bare.	Minä vain katselen.	Doar mă uit.	Jeg bare kikker.	Len sa pozerám.	Я просто смотрю.	Ik ben alleen aan het kijken	我只是随便看看。	I'm just looking.	I'm just looking.	I'm just looking.	I'm just looking.	Sólo estoy mirando.	Je ne fais que regarder.	Estou só a ver.	Ik ben alleen aan het kijken	Shopping
しちゃくしても、いいですか?	Kann ich das anprobieren?	May I try it on?	¿Puedo probarlo?	Puis-je l'essayer ?	Posso provarlo?	Posso experimentar?	我可以試穿嗎？	ขอลองใส่ดูได้ไหม	Deneyebilir miyim?	我可以試穿嗎？	هل يمكنني تجربته؟	Czy mogę przymierzyć?	Μπορώ να το δοκιμάσω;	Boleh saya coba?	Kan jag prova den här?	한 번 입어봐도 될까요?	Felpróbálhatom?	Mohu to vyzkoušet?	Må jeg prøve den?	Voinko sovittaa sitä?	Pot să o probez?	Kan jeg prøve den?	Môžem si to vyskúšať?	Можно это примерить?	Zou ik het aan mogen passen?	我可以试穿吗？	May I try it on?	May I try it on?	May I try it on?	May I try it on?	¿Puedo probarlo?	Puis-je l'essayer ?	Posso experimentar?	Zou ik het aan mogen passen?	Shopping
とても、きにいりました	Ich mag es.	I love it.	Me encanta.	Je l'aime beaucoup.	Lo adoro.	Adoro.	我喜歡。	ฉันชอบมันมาก	Severim.	我喜歡。	يعجبني.	Kocham to.	Μου αρέσει.	Saya suka.	Jag älskar den.	마음에 들어요	Tetszik.	Líbí se mi to.	Jeg elsker den.	Rakastan sitä.	O ador.	Jeg elsker den.	Páči sa mi to.	Мне нравится.	Ik vind het geweldig.	我喜欢这个。	I love it.	I love it.	I love it.	I love it.	Me encanta.	Je l'aime beaucoup.	Adoro.	Ik vind het geweldig.	Shopping
まけてください	Können Sie mir ein gutes Angebot machen?	Can you give me a discount?	¿Podrías darme una buena oferta?	Pouvez-vous me donner un bon prix ?	Potresti farmi una buona offerta?	Pode fazer-me um desconto?	算我便宜一點啦。	คุณลดราคาอีกได้ไหม	Bana iyi bir fiyat verir misiniz?	算我便宜一點啦。	هل يمكنك أن تعطيني سعرا جيدا؟	Chcę dobrą ofertę.	Μπορείτε να μου κάνετε μια καλή προσφορά;	Bisa kasi diskon?	Kan ni ge mig en bra deal?	좋은 가격으로 주실 수 있나요?	Van valami jó ajánlata?	Mohli byste mi dát nějakou slevu?	Kan du give mig en god pris?	Pystytkö antamaan alennusta?	Putem negocia?	Kan du gi meg en god deal?	Môžete mi spraviť zľavu, prosím?	Вы сделаете мне скидку?	Zou u mij een goede aanbieding kunnen geven?	能给我打个折吗？	Can you give me a discount?	Can you give me a discount?	Can you give me a discount?	Can you give me a discount?	¿Podrías darme una buena oferta?	Pouvez-vous me donner un bon prix ?	Pode fazer-me um desconto?	Zou u mij een goede aanbieding kunnen geven?	Shopping
これにします	Ich nehme es.	I'll take it.	Me lo llevo.	Je le prends.	Lo compro.	Vou levar.	我買了。	ฉันเอาชิ้นนี้	Alacağım.	我買了。	سآخذه.	Wezmę to.	Θα το πάρω.	Saya beli deh.	Jag tar den.	이걸로 살게요.	Megveszem!	Beru to.	Jeg tager den.	Otan sen.	O cumpăr.	Den tar jeg.	Zoberiem si to.	Я это возьму.	Ik neem het.	我要买这个。	I'll take it.	I'll take it.	I'll take it.	I'll take it.	Me lo llevo.	Je le prends.	Vou levar.	Ik neem het.	Shopping
クレジットカードはつかえますか?	Akzeptieren Sie Kreditkarten?	Do you take a credit card?	¿Aceptas tarjeta de crédito?	Acceptez-vous les cartes de crédit ?	Accettate carte di credito?	Aceita cartões de crédito?	你們接受信用卡嗎？	คุณรับบัตรเครดิตไหม	Kredi kartı geçerli mi?	你們接受信用卡嗎？	هل تقبل الدفع ببطاقة الأتمان؟	Czy akceptujecie karty kredytowe?	Δέχεστε πιστωτικές κάρτες;	Terima kartu kredit?	Tar ni kreditkort?	신용카드 되나요?	Elfogadnak hitelkártyát?	Berete kreditní karty?	Tager i kreditkort?	Käykö teille luottokortti?	Acceptaţi cărţi de credit?	Tar dere kredittkort?	Beriete aj kreditné karty?	Вы принимаете кредитные карты?	Accepteert u een creditcard?	你们接受信用卡付款吗？	Do you take a credit card?	Do you take a credit card?	Do you take a credit card?	Do you take a credit card?	¿Aceptas tarjeta de crédito?	Acceptez-vous les cartes de crédit ?	Aceita cartões de crédito?	Accepteert u een creditcard?	Shopping
なんじに、ひらきますか?	Um wie viel Uhr öffnen Sie?	What time do you open?	¿A qué hora abren?	À quelle heure ouvrez-vous ?	A che ora aprite?	A que horas abre?	你們什麼時候營業？	ร้านคุณเปิดกี่โมง	Ne zaman açarsınız?	你們什麼時候營業？	ما الوقت الذي تفتح فيه؟	O której otwieracie?	Τι ώρα ανοίγετε;	Kapan kamu buka?	Vilken tid öppnar ni?	몇시에 엽니까? 	Mikor nyitnak?	V kolik hodin otvíráte?	Hvornår åbner i?	Mihin aikaan avaatte?	La ce oră deschideţi?	Når åpner dere?	O koľkej otvárate?	Во сколько вы открываетесь?	Hoe laat gaat u open?	你们什么时候开始营业？	What time do you open?	What time do you open?	What time do you open?	What time do you open?	¿A qué hora abren?	À quelle heure ouvrez-vous ?	A que horas abre?	Hoe laat gaat u open?	Sightseeing
なんじに、しまりますか?	Um wie viel Uhr schließen Sie?	What time do you close?	¿A qué hora cierran?	À quelle heure fermez-vous ?	A che ora chiudete?	A que horas fecha?	你們什麼時候關門？	ร้านคุณปิดกี่โมง	Ne zaman kapatırsınız?	你們什麼時候關門？	ما الوقت الذي تغلق فيه؟	O której zamykacie?	Τι ώρα κλείνετε;	Kapan kamu tutup?	Vilken tid stänger ni?	몇시에 닫습니까? 	Mikor zárnak?	V kolik hodin zavíráte?	Hvornår lukker i?	Mihin aikaan suljette?	La ce oră închideţi?	Når stenger dere?	O koľkej zatvárate?	Во сколько вы закрываетесь?	Hoe laat sluit u?	你们什么时候停止营业？	What time do you close?	What time do you close?	What time do you close?	What time do you close?	¿A qué hora cierran?	À quelle heure fermez-vous ?	A que horas fecha?	Hoe laat sluit u?	Sightseeing
かんこうあんないじょは、どこですか?	Wo gibt es eine Touristeninformation?	Where is a tourist information center?	¿Dónde hay un centro de información turística?	Où puis-je trouver un centre d'information touristique ?	Dove si trova il centro informazioni per turisti?	Onde é o centro de informação de turismo?	旅遊諮詢中心在哪裡？	ศูนย์บริการนักท่องเที่ยวอยู่ที่ไหน	Turist bilgilendirme merkezi nerede?	旅遊諮詢中心在哪裡？	أين يوجد مركز معلومات السياح؟	Gdzie jest centrum informacji turystycznej?	Πού είναι το κέντρο τουριστικής πληροφόρησης;	Di mana pusat informasi turis?	Var finns ett turistinformationscenter?	관광 안내소는 어디입니까? 	Hol találok Tourinform irodát?	Kde je turistické informační středisko?	Hvor er der et turistinformations center?	Missä turistien informaatiopiste on?	Unde este oficiul de informare a turiştilor?	Hvor er turistinformasjonen?	Kde je turistické informačné centrum, prosím?	Где находится туристический информационный центр?	Waar kan ik het toeristeninformatiecentrum vinden?	旅游信息中心在哪里呢？	Where is a tourist information center?	Where is a tourist information center?	Where is a tourist information center?	Where is a tourist information center?	¿Dónde hay un centro de información turística?	Où puis-je trouver un centre d'information touristique ?	Onde é o centro de informação de turismo?	Waar kan ik het toeristeninformatiecentrum vinden?	Sightseeing
ちずは、ありますか?	Haben Sie eine Karte?	Do you have a map?	¿Tienes un mapa?	Avez-vous un plan ?	Hai una mappa?	Tem um mapa?	你有地圖嗎？	คุณมีแผนที่ไหม	Haritanız var mı?	你有地圖嗎？	هل لديك خريطة؟	Masz może mapę?	Έχετε έναν χάρτη;	Kamu punya peta?	Har ni en karta?	지도 있어요?	Van egy térképük?	Máte mapu?	Har i et kort?	Onko sinulla karttaa?	Aveţi o hartă?	Har dere et kart?	Máte mapu?	У вас есть карта?	Heeft u een kaart?	你有地图吗？	Do you have a map?	Do you have a map?	Do you have a map?	Do you have a map?	¿Tienes un mapa?	Avez-vous un plan ?	Tem um mapa?	Heeft u een kaart?	Sightseeing
たすけて!	Helfen Sie mir!	Help me!	¡Ayúdame!	Aidez-moi !	Aiutami!	Socorro!	幫幫我！	ช่วยด้วย!	Yardım edin!	幫幫我！	ساعدني!	Pomocy!	Βοηθήστε με!	Tolong saya!	Hjälp mig.	도와주세요! 	Segítsen!	Pomozte mi!	Hjælp mig!	Auta minua!	Ajutor!	Hjelp meg!	Pomôžte mi!	Помогите мне!	Help me!	帮帮我！	Help me!	Help me!	Help me!	Help me!	¡Ayúdame!	Aidez-moi !	Socorro!	Help me!	Trouble
けいさつをよんでください	Rufen Sie bitte die Polizei.	Please call the police.	Por favor, llame a la policía.	S'il vous plaît, appelez la police.	Per favore, chiama la polizia.	Por favor chame a polícia.	請打電話報警。	ช่วยเรียกตำรวจให้หน่อย	Lütfen polisi arayın.	請打電話報警。	من فضلك اتصل بالشرطة.	Proszę wezwać policję.	Καλέστε την αστυνομία, παρακαλώ.	Tolong panggilkan polisi.	Ring polisen.	경찰에 신고해주세요. 	Kérem, hívja a rendőrséget.	Zavolejte prosím policii.	Ring til politiet.	Soittaisitko poliisin.	Chemaţi, vă rog, poliţia.	Ring politiet.	Zavolajte políciu, prosím.	Пожалуйста, вызовите полицию.	Bel de politie alstublieft.	请打电话报警。	Please call the police.	Please call the police.	Please call the police.	Please call the police.	Por favor, llame a la policía.	S'il vous plaît, appelez la police.	Por favor chame a polícia.	Bel de politie alstublieft.	Trouble
さいふをぬすまれました	Mir wurde die Handtasche gestohlen.	I had my purse stolen.	me robaron mi bolso.	On m'a volé mon sac à mains.	Mi hanno rubato la borsa.	Roubaram-me a carteira.	我錢包被偷了。	กระเป๋าฉันถูกโขมย	Cüzdanım çalındı.	我錢包被偷了。	لقد سرقت محفظتي.	Skradziono mi portfel.	Μου έκλεψαν το πορτοφόλι.	Dompet saya dicuri.	Min väska blev stulen.	내 지갑을 도난 당했어요. 	Ellopták a táskám.	Ukradli mi peněženku.	Min pung er blevet stjålet.	Laukkuni varastettiin.	Mi-a fost furată geanta.	Noen stjal vesken min.	Ukradli mi peňaženku.	Мой кошелек украли.	Mijn tas is gestolen.	我的钱包被偷了。	I had my purse stolen.	I had my purse stolen.	I had my purse stolen.	I had my purse stolen.	me robaron mi bolso.	On m'a volé mon sac à mains.	Roubaram-me a carteira.	Mijn tas is gestolen.	Trouble
おなかがいたいです	Ich habe Bauchschmerzen.	I have a stomachache.	me duele el estómago.	J'ai mal à l'estomac.	Ho mal di pancia.	Dói-me a barriga.	我肚子痛。	ฉันปวดท้อง	Karnım ağrıyor.	我肚子痛。	عندي ألم بالمعدة.	Boli mnie brzuch.	Με πονάει το στομάχι μου.	Saya sakit perut.	Jag har ont i magen.	배가 아파요.	Gyomorfájásom van.	Bolí mě žaludek.	Jeg har mavesmerter.	Mahaani koskee.	Mă doare stomacul.	Jeg har vondt i magen.	Bolí ma brucho.	У меня болит живот.	Ik heb buikpijn.	我肚子痛。	I have a stomachache.	I have a stomachache.	I have a stomachache.	I have a stomachache.	me duele el estómago.	J'ai mal à l'estomac.	Dói-me a barriga.	Ik heb buikpijn.	Trouble
%bodyがいたいです	Mein %body tut weh.	My %body is aching.	Me duele la %body.	J'ai mal à la %body.	Mi fa male la %body.	Dói-me a %body.	我%body痛。	ฉันปวด%body	%bodyım ağrıyor.	我%body痛。	لدي آلام %body.	Boli mnie %head.	Με πονάει το %body μου.	%body saya sakit.	Jag har ont i %body.	%body 아파요.	Fáj a %body.	Bolí mě %body.	Jeg har %body pine.	%body täni särkee.	Mă doare %body.	Jeg har vondt i %body.	Bolí ma %body.	У меня %body боль.	Mijn %body doet zeer.	我%body疼。	My %body is aching.	My %body is aching.	My %body is aching.	My %body is aching.	Me duele la %body.	J'ai mal à la %body.	Dói-me a %body.	Mijn %body doet zeer.	Trouble
ほっといて	Lassen Sie mich in Ruhe.	Leave me alone.	Déjame en paz.	Laissez-moi tranquille.	Lasciami in pace.	Deixe-me em paz.	請勿打擾。	ให้ฉันอยู่คนเดียวเถอะ	Beniz yalnız bırakın.	請勿打擾。	دعني وشأني.	Zostaw mnie samego.	Αφήστε με.	Jangan ganggu saya.	Lämna mig i fred.	나를 그냥 내버려 두세요. 	Hagyjon békén!	Nechte mě být.	Lad mig være.	Jätä minut rauhaan.	Lasă-mă în pace.	La meg være i fred.	Nechajte ma samého.	Оставьте меня в покое.	Laat me met rust.	别再来烦我！	Leave me alone.	Leave me alone.	Leave me alone.	Leave me alone.	Déjame en paz.	Laissez-moi tranquille.	Deixe-me em paz.	Laat me met rust.	Trouble
さわらないで	Fassen Sie mich nicht an.	Don't touch me.	No me toque.	Ne me touchez pas.	Non mi toccare.	Não me toque.	不要碰我。	อย่าแตะต้องตัวฉัน	Bana dokunmayın.	不要碰我。	لا تلمسني.	Nie dotykaj mnie.	Μη με αγγίζετε.	Jangan sentuh saya.	Rör mig inte.	건드리지 마세요.	Ne érjen hozzám!	Nedotýkejte se mě.	Lad være med at røre mig.	Älä koske minuun.	Nu mă atinge.	Ikke ta på meg.	Nedotýkajte sa ma.	Не трогайте меня.	Raak me niet aan.	别碰我。	Don't touch me.	Don't touch me.	Don't touch me.	Don't touch me.	No me toque.	Ne me touchez pas.	Não me toque.	Raak me niet aan.	Trouble
